releaseYear,count
1902.0,2
1908.0,1
1910.0,1
1911.0,1
1913.0,2
1914.0,1
1915.0,5
1916.0,4
1917.0,3
1918.0,5
1919.0,5
1920.0,8
1921.0,7
1922.0,6
1923.0,9
1924.0,5
1925.0,18
1926.0,12
1927.0,18
1928.0,18
1929.0,23
1930.0,27
1931.0,39
1932.0,64
1933.0,56
1934.0,85
1935.0,92
1936.0,111
1937.0,111
1938.0,92
1939.0,103
1940.0,83
1941.0,102
1942.0,101
1943.0,98
1944.0,75
1945.0,115
1946.0,111
1947.0,115
1948.0,124
1949.0,114
1950.0,155
1951.0,144
1952.0,174
1953.0,196
1954.0,174
1955.0,139
1956.0,181
1957.0,211
1958.0,227
1959.0,222
1960.0,219
1961.0,215
1962.0,221
1963.0,208
1964.0,242
1965.0,219
1966.0,252
1967.0,245
1968.0,276
1969.0,256
1970.0,288
1971.0,348
1972.0,354
1973.0,313
1974.0,343
1975.0,280
1976.0,340
1977.0,310
1978.0,330
1979.0,350
1980.0,398
1981.0,373
1982.0,375
1983.0,451
1984.0,434
1985.0,443
1986.0,475
1987.0,535
1988.0,527
1989.0,570
1990.0,509
1991.0,546
1992.0,489
1993.0,557
1994.0,566
1995.0,627
1996.0,686
1997.0,704
1998.0,708
1999.0,808
2000.0,878
2001.0,915
2002.0,1025
2003.0,1057
2004.0,1213
2005.0,1403
2006.0,1517
2007.0,1636
2008.0,1721
2009.0,1943
2010.0,2040
2011.0,2365
2012.0,2720
2013.0,3342
2014.0,3567
2015.0,4146
2016.0,4544
2017.0,5161
2018.0,5713
2019.0,5988
2020.0,4950
2021.0,5467
2022.0,5905
2023.0,5064
2024.0,2311
2025.0,11
