year,movies,tv
1902.0,2,0
1908.0,1,0
1910.0,1,0
1911.0,1,0
1913.0,2,0
1914.0,1,0
1915.0,5,0
1916.0,4,0
1917.0,3,0
1918.0,5,0
1919.0,5,0
1920.0,8,0
1921.0,7,0
1922.0,6,0
1923.0,9,0
1924.0,5,0
1925.0,18,0
1926.0,12,0
1927.0,18,0
1928.0,18,0
1929.0,23,0
1930.0,27,0
1931.0,39,0
1932.0,64,0
1933.0,56,0
1934.0,85,0
1935.0,92,0
1936.0,111,0
1937.0,111,0
1938.0,92,0
1939.0,103,0
1940.0,83,0
1941.0,102,0
1942.0,101,0
1943.0,98,0
1944.0,75,0
1945.0,115,0
1946.0,111,0
1947.0,115,0
1948.0,124,0
1949.0,114,0
1950.0,149,6
1951.0,140,4
1952.0,166,8
1953.0,192,4
1954.0,169,5
1955.0,133,6
1956.0,177,4
1957.0,202,9
1958.0,214,13
1959.0,210,12
1960.0,209,10
1961.0,208,7
1962.0,213,8
1963.0,200,8
1964.0,235,7
1965.0,206,13
1966.0,236,16
1967.0,233,12
1968.0,261,15
1969.0,245,11
1970.0,278,10
1971.0,326,22
1972.0,343,11
1973.0,298,15
1974.0,326,17
1975.0,261,19
1976.0,320,20
1977.0,294,16
1978.0,303,27
1979.0,323,27
1980.0,365,33
1981.0,348,25
1982.0,351,24
1983.0,414,37
1984.0,401,33
1985.0,408,35
1986.0,441,34
1987.0,491,44
1988.0,498,29
1989.0,525,45
1990.0,459,50
1991.0,488,58
1992.0,432,57
1993.0,495,62
1994.0,508,58
1995.0,565,62
1996.0,616,70
1997.0,612,92
1998.0,603,105
1999.0,710,98
2000.0,776,102
2001.0,814,101
2002.0,909,116
2003.0,891,166
2004.0,1036,177
2005.0,1201,202
2006.0,1313,204
2007.0,1392,244
2008.0,1466,255
2009.0,1679,264
2010.0,1731,309
2011.0,2005,360
2012.0,2290,430
2013.0,2833,509
2014.0,3079,488
2015.0,3488,658
2016.0,3851,693
2017.0,4381,780
2018.0,4795,918
2019.0,4996,992
2020.0,3971,979
2021.0,4369,1098
2022.0,4649,1256
2023.0,3930,1134
2024.0,1537,774
2025.0,10,1
