releaseYear,count
1902.0,2
1908.0,1
1910.0,1
1911.0,1
1913.0,2
1914.0,1
1915.0,5
1916.0,4
1917.0,3
1918.0,5
1919.0,5
1920.0,8
1921.0,7
1922.0,6
1923.0,9
1924.0,5
1925.0,18
1926.0,12
1927.0,18
1928.0,18
1929.0,23
1930.0,27
1931.0,39
1932.0,64
1933.0,56
1934.0,85
1935.0,92
1936.0,111
1937.0,111
1938.0,92
1939.0,103
1940.0,83
1941.0,102
1942.0,101
1943.0,98
1944.0,75
1945.0,115
1946.0,111
1947.0,115
1948.0,124
1949.0,114
1950.0,149
1951.0,140
1952.0,166
1953.0,192
1954.0,169
1955.0,133
1956.0,177
1957.0,202
1958.0,214
1959.0,210
1960.0,209
1961.0,208
1962.0,213
1963.0,200
1964.0,235
1965.0,206
1966.0,236
1967.0,233
1968.0,261
1969.0,245
1970.0,278
1971.0,326
1972.0,343
1973.0,298
1974.0,326
1975.0,261
1976.0,320
1977.0,294
1978.0,303
1979.0,323
1980.0,365
1981.0,348
1982.0,351
1983.0,414
1984.0,401
1985.0,408
1986.0,441
1987.0,491
1988.0,498
1989.0,525
1990.0,459
1991.0,488
1992.0,432
1993.0,495
1994.0,508
1995.0,565
1996.0,616
1997.0,612
1998.0,603
1999.0,710
2000.0,776
2001.0,814
2002.0,909
2003.0,891
2004.0,1036
2005.0,1201
2006.0,1313
2007.0,1392
2008.0,1466
2009.0,1679
2010.0,1731
2011.0,2005
2012.0,2290
2013.0,2833
2014.0,3079
2015.0,3488
2016.0,3851
2017.0,4381
2018.0,4795
2019.0,4996
2020.0,3971
2021.0,4369
2022.0,4649
2023.0,3930
2024.0,1537
2025.0,10
