releaseYear,count
1950.0,6
1951.0,4
1952.0,8
1953.0,4
1954.0,5
1955.0,6
1956.0,4
1957.0,9
1958.0,13
1959.0,12
1960.0,10
1961.0,7
1962.0,8
1963.0,8
1964.0,7
1965.0,13
1966.0,16
1967.0,12
1968.0,15
1969.0,11
1970.0,10
1971.0,22
1972.0,11
1973.0,15
1974.0,17
1975.0,19
1976.0,20
1977.0,16
1978.0,27
1979.0,27
1980.0,33
1981.0,25
1982.0,24
1983.0,37
1984.0,33
1985.0,35
1986.0,34
1987.0,44
1988.0,29
1989.0,45
1990.0,50
1991.0,58
1992.0,57
1993.0,62
1994.0,58
1995.0,62
1996.0,70
1997.0,92
1998.0,105
1999.0,98
2000.0,102
2001.0,101
2002.0,116
2003.0,166
2004.0,177
2005.0,202
2006.0,204
2007.0,244
2008.0,255
2009.0,264
2010.0,309
2011.0,360
2012.0,430
2013.0,509
2014.0,488
2015.0,658
2016.0,693
2017.0,780
2018.0,918
2019.0,992
2020.0,979
2021.0,1098
2022.0,1256
2023.0,1134
2024.0,774
2025.0,1
