year,movies,tv
1902.0,1,0
1908.0,1,0
1910.0,1,0
1911.0,1,0
1913.0,1,0
1914.0,1,0
1915.0,5,0
1916.0,4,0
1917.0,2,0
1918.0,4,0
1919.0,3,0
1920.0,6,0
1921.0,5,0
1922.0,5,0
1923.0,6,0
1924.0,3,0
1925.0,15,0
1926.0,11,0
1927.0,14,0
1928.0,13,0
1929.0,16,0
1930.0,25,0
1931.0,33,0
1932.0,57,0
1933.0,50,0
1934.0,69,0
1935.0,83,0
1936.0,102,0
1937.0,101,0
1938.0,85,0
1939.0,90,0
1940.0,75,0
1941.0,96,0
1942.0,89,0
1943.0,77,0
1944.0,62,0
1945.0,87,0
1946.0,75,0
1947.0,84,0
1948.0,95,0
1949.0,91,0
1950.0,112,6
1951.0,108,3
1952.0,123,8
1953.0,138,4
1954.0,108,4
1955.0,86,5
1956.0,110,3
1957.0,119,5
1958.0,118,9
1959.0,141,7
1960.0,140,7
1961.0,142,5
1962.0,151,7
1963.0,111,6
1964.0,168,6
1965.0,147,10
1966.0,162,8
1967.0,178,9
1968.0,187,10
1969.0,178,7
1970.0,194,8
1971.0,219,15
1972.0,240,8
1973.0,207,7
1974.0,223,11
1975.0,178,13
1976.0,206,14
1977.0,202,11
1978.0,215,16
1979.0,234,14
1980.0,246,19
1981.0,214,17
1982.0,224,17
1983.0,259,22
1984.0,235,23
1985.0,251,23
1986.0,270,23
1987.0,319,29
1988.0,315,20
1989.0,369,30
1990.0,291,35
1991.0,318,39
1992.0,288,28
1993.0,335,39
1994.0,358,31
1995.0,374,42
1996.0,430,48
1997.0,424,62
1998.0,427,65
1999.0,497,67
2000.0,541,56
2001.0,549,65
2002.0,589,68
2003.0,570,106
2004.0,660,117
2005.0,786,125
2006.0,843,128
2007.0,907,155
2008.0,962,166
2009.0,1103,162
2010.0,1164,189
2011.0,1325,212
2012.0,1585,265
2013.0,1968,300
2014.0,2143,277
2015.0,2368,343
2016.0,2611,347
2017.0,2965,370
2018.0,3202,380
2019.0,3384,389
2020.0,2604,352
2021.0,2775,398
2022.0,2729,397
2023.0,2313,422
2024.0,876,292
2025.0,7,1
