releaseYear,count
1902.0,1
1908.0,1
1910.0,1
1911.0,1
1913.0,1
1914.0,1
1915.0,5
1916.0,4
1917.0,2
1918.0,4
1919.0,3
1920.0,6
1921.0,5
1922.0,5
1923.0,6
1924.0,3
1925.0,15
1926.0,11
1927.0,14
1928.0,13
1929.0,16
1930.0,25
1931.0,33
1932.0,57
1933.0,50
1934.0,69
1935.0,83
1936.0,102
1937.0,101
1938.0,85
1939.0,90
1940.0,75
1941.0,96
1942.0,89
1943.0,77
1944.0,62
1945.0,87
1946.0,75
1947.0,84
1948.0,95
1949.0,91
1950.0,112
1951.0,108
1952.0,123
1953.0,138
1954.0,108
1955.0,86
1956.0,110
1957.0,119
1958.0,118
1959.0,141
1960.0,140
1961.0,142
1962.0,151
1963.0,111
1964.0,168
1965.0,147
1966.0,162
1967.0,178
1968.0,187
1969.0,178
1970.0,194
1971.0,219
1972.0,240
1973.0,207
1974.0,223
1975.0,178
1976.0,206
1977.0,202
1978.0,215
1979.0,234
1980.0,246
1981.0,214
1982.0,224
1983.0,259
1984.0,235
1985.0,251
1986.0,270
1987.0,319
1988.0,315
1989.0,369
1990.0,291
1991.0,318
1992.0,288
1993.0,335
1994.0,358
1995.0,374
1996.0,430
1997.0,424
1998.0,427
1999.0,497
2000.0,541
2001.0,549
2002.0,589
2003.0,570
2004.0,660
2005.0,786
2006.0,843
2007.0,907
2008.0,962
2009.0,1103
2010.0,1164
2011.0,1325
2012.0,1585
2013.0,1968
2014.0,2143
2015.0,2368
2016.0,2611
2017.0,2965
2018.0,3202
2019.0,3384
2020.0,2604
2021.0,2775
2022.0,2729
2023.0,2313
2024.0,876
2025.0,7
