genre,count
Comedy,1133
 Drama,1539
Family,95
 Fantasy,406
 Music,94
Crime,633
Action,1008
 Adventure,515
 Animation,801
Adventure,504
 Sport,120
 Talk-Show,23
 Crime,276
 Mystery,439
Drama,1100
 Family,500
 Comedy,696
Animation,790
 Documentary,230
 History,352
 Romance,562
 Sci-Fi,176
 Horror,135
Documentary,840
Game-Show,83
 Reality-TV,189
 Thriller,279
Reality-TV,387
 War,68
Horror,23
 Western,34
Biography,153
Western,13
 Game-Show,41
 Musical,30
 Biography,14
Sport,12
Sci-Fi,10
Romance,45
Thriller,39
Fantasy,27
 Short,25
History,30
Talk-Show,15
 News,2
Music,4
Mystery,26
News,2
 Reality,4
Reality,4
Musical,4
Adult,10
War,2
Short,3
 Action & Adventure,1
 Soap,1
 Kids,1
