releaseYear,count
1950.0,6
1951.0,3
1952.0,8
1953.0,4
1954.0,4
1955.0,5
1956.0,3
1957.0,5
1958.0,9
1959.0,7
1960.0,7
1961.0,5
1962.0,7
1963.0,6
1964.0,6
1965.0,10
1966.0,8
1967.0,9
1968.0,10
1969.0,7
1970.0,8
1971.0,15
1972.0,8
1973.0,7
1974.0,11
1975.0,13
1976.0,14
1977.0,11
1978.0,16
1979.0,14
1980.0,19
1981.0,17
1982.0,17
1983.0,22
1984.0,23
1985.0,23
1986.0,23
1987.0,29
1988.0,20
1989.0,30
1990.0,35
1991.0,39
1992.0,28
1993.0,39
1994.0,31
1995.0,42
1996.0,48
1997.0,62
1998.0,65
1999.0,67
2000.0,56
2001.0,65
2002.0,68
2003.0,106
2004.0,117
2005.0,125
2006.0,128
2007.0,155
2008.0,166
2009.0,162
2010.0,189
2011.0,212
2012.0,265
2013.0,300
2014.0,277
2015.0,343
2016.0,347
2017.0,370
2018.0,380
2019.0,389
2020.0,352
2021.0,398
2022.0,397
2023.0,422
2024.0,292
2025.0,1
