releaseYear,count
1902.0,1
1921.0,1
1922.0,1
1923.0,1
1924.0,2
1925.0,3
1927.0,4
1928.0,2
1929.0,2
1930.0,1
1931.0,4
1932.0,3
1933.0,4
1934.0,11
1935.0,4
1936.0,4
1937.0,2
1938.0,2
1939.0,7
1940.0,4
1941.0,4
1942.0,5
1943.0,10
1944.0,11
1945.0,20
1946.0,27
1947.0,19
1948.0,18
1949.0,11
1950.0,17
1951.0,13
1952.0,18
1953.0,27
1954.0,33
1955.0,31
1956.0,38
1957.0,61
1958.0,68
1959.0,47
1960.0,51
1961.0,37
1962.0,42
1963.0,59
1964.0,45
1965.0,40
1966.0,53
1967.0,38
1968.0,52
1969.0,50
1970.0,55
1971.0,80
1972.0,78
1973.0,62
1974.0,83
1975.0,60
1976.0,82
1977.0,66
1978.0,75
1979.0,74
1980.0,98
1981.0,100
1982.0,98
1983.0,124
1984.0,129
1985.0,132
1986.0,132
1987.0,133
1988.0,142
1989.0,122
1990.0,141
1991.0,124
1992.0,116
1993.0,119
1994.0,119
1995.0,141
1996.0,141
1997.0,137
1998.0,125
1999.0,152
2000.0,163
2001.0,156
2002.0,202
2003.0,176
2004.0,197
2005.0,254
2006.0,276
2007.0,296
2008.0,307
2009.0,368
2010.0,349
2011.0,440
2012.0,455
2013.0,557
2014.0,561
2015.0,715
2016.0,694
2017.0,751
2018.0,756
2019.0,806
2020.0,701
2021.0,884
2022.0,1047
2023.0,803
2024.0,308
2025.0,1
