year,movies,tv
1902.0,1,0
1921.0,1,0
1922.0,1,0
1923.0,1,0
1924.0,2,0
1925.0,3,0
1927.0,4,0
1928.0,2,0
1929.0,2,0
1930.0,1,0
1931.0,4,0
1932.0,3,0
1933.0,4,0
1934.0,11,0
1935.0,4,0
1936.0,4,0
1937.0,2,0
1938.0,2,0
1939.0,7,0
1940.0,4,0
1941.0,4,0
1942.0,5,0
1943.0,10,0
1944.0,11,0
1945.0,20,0
1946.0,27,0
1947.0,19,0
1948.0,18,0
1949.0,11,0
1950.0,17,0
1951.0,12,1
1952.0,18,0
1953.0,27,0
1954.0,32,1
1955.0,30,1
1956.0,37,1
1957.0,57,4
1958.0,64,4
1959.0,42,5
1960.0,48,3
1961.0,35,2
1962.0,41,1
1963.0,57,2
1964.0,44,1
1965.0,37,3
1966.0,47,6
1967.0,35,3
1968.0,48,4
1969.0,47,3
1970.0,53,2
1971.0,74,6
1972.0,75,3
1973.0,55,7
1974.0,77,6
1975.0,55,5
1976.0,78,4
1977.0,61,5
1978.0,65,10
1979.0,64,10
1980.0,86,12
1981.0,94,6
1982.0,91,7
1983.0,112,12
1984.0,120,9
1985.0,122,10
1986.0,123,9
1987.0,123,10
1988.0,135,7
1989.0,110,12
1990.0,129,12
1991.0,108,16
1992.0,95,21
1993.0,100,19
1994.0,96,23
1995.0,126,15
1996.0,124,17
1997.0,114,23
1998.0,96,29
1999.0,131,21
2000.0,128,35
2001.0,135,21
2002.0,167,35
2003.0,135,41
2004.0,159,38
2005.0,205,49
2006.0,232,44
2007.0,243,53
2008.0,251,56
2009.0,296,72
2010.0,269,80
2011.0,350,90
2012.0,350,105
2013.0,412,145
2014.0,433,128
2015.0,526,189
2016.0,524,170
2017.0,564,187
2018.0,563,193
2019.0,582,224
2020.0,484,217
2021.0,638,246
2022.0,735,312
2023.0,563,240
2024.0,189,119
2025.0,1,0
