releaseYear,count
1902.0,1
1921.0,1
1922.0,1
1923.0,1
1924.0,2
1925.0,3
1927.0,4
1928.0,2
1929.0,2
1930.0,1
1931.0,4
1932.0,3
1933.0,4
1934.0,11
1935.0,4
1936.0,4
1937.0,2
1938.0,2
1939.0,7
1940.0,4
1941.0,4
1942.0,5
1943.0,10
1944.0,11
1945.0,20
1946.0,27
1947.0,19
1948.0,18
1949.0,11
1950.0,17
1951.0,12
1952.0,18
1953.0,27
1954.0,32
1955.0,30
1956.0,37
1957.0,57
1958.0,64
1959.0,42
1960.0,48
1961.0,35
1962.0,41
1963.0,57
1964.0,44
1965.0,37
1966.0,47
1967.0,35
1968.0,48
1969.0,47
1970.0,53
1971.0,74
1972.0,75
1973.0,55
1974.0,77
1975.0,55
1976.0,78
1977.0,61
1978.0,65
1979.0,64
1980.0,86
1981.0,94
1982.0,91
1983.0,112
1984.0,120
1985.0,122
1986.0,123
1987.0,123
1988.0,135
1989.0,110
1990.0,129
1991.0,108
1992.0,95
1993.0,100
1994.0,96
1995.0,126
1996.0,124
1997.0,114
1998.0,96
1999.0,131
2000.0,128
2001.0,135
2002.0,167
2003.0,135
2004.0,159
2005.0,205
2006.0,232
2007.0,243
2008.0,251
2009.0,296
2010.0,269
2011.0,350
2012.0,350
2013.0,412
2014.0,433
2015.0,526
2016.0,524
2017.0,564
2018.0,563
2019.0,582
2020.0,484
2021.0,638
2022.0,735
2023.0,563
2024.0,189
2025.0,1
