releaseYear,count
1951.0,1
1954.0,1
1955.0,1
1956.0,1
1957.0,4
1958.0,4
1959.0,5
1960.0,3
1961.0,2
1962.0,1
1963.0,2
1964.0,1
1965.0,3
1966.0,6
1967.0,3
1968.0,4
1969.0,3
1970.0,2
1971.0,6
1972.0,3
1973.0,7
1974.0,6
1975.0,5
1976.0,4
1977.0,5
1978.0,10
1979.0,10
1980.0,12
1981.0,6
1982.0,7
1983.0,12
1984.0,9
1985.0,10
1986.0,9
1987.0,10
1988.0,7
1989.0,12
1990.0,12
1991.0,16
1992.0,21
1993.0,19
1994.0,23
1995.0,15
1996.0,17
1997.0,23
1998.0,29
1999.0,21
2000.0,35
2001.0,21
2002.0,35
2003.0,41
2004.0,38
2005.0,49
2006.0,44
2007.0,53
2008.0,56
2009.0,72
2010.0,80
2011.0,90
2012.0,105
2013.0,145
2014.0,128
2015.0,189
2016.0,170
2017.0,187
2018.0,193
2019.0,224
2020.0,217
2021.0,246
2022.0,312
2023.0,240
2024.0,119
