releaseYear,count
1913.0,1
1917.0,1
1918.0,1
1919.0,2
1920.0,2
1921.0,1
1923.0,2
1926.0,1
1928.0,3
1929.0,5
1930.0,1
1931.0,2
1932.0,4
1933.0,2
1934.0,5
1935.0,5
1936.0,5
1937.0,8
1938.0,5
1939.0,6
1940.0,4
1941.0,2
1942.0,7
1943.0,11
1944.0,2
1945.0,8
1946.0,9
1947.0,12
1948.0,11
1949.0,12
1950.0,20
1951.0,20
1952.0,25
1953.0,27
1954.0,29
1955.0,17
1956.0,30
1957.0,26
1958.0,32
1959.0,27
1960.0,21
1961.0,31
1962.0,21
1963.0,32
1964.0,23
1965.0,22
1966.0,29
1967.0,20
1968.0,27
1969.0,21
1970.0,31
1971.0,34
1972.0,28
1973.0,37
1974.0,26
1975.0,29
1976.0,38
1977.0,31
1978.0,24
1979.0,28
1980.0,35
1981.0,42
1982.0,36
1983.0,46
1984.0,47
1985.0,37
1986.0,50
1987.0,54
1988.0,50
1989.0,49
1990.0,42
1991.0,65
1992.0,57
1993.0,64
1994.0,58
1995.0,70
1996.0,67
1997.0,81
1998.0,91
1999.0,92
2000.0,118
2001.0,145
2002.0,166
2003.0,205
2004.0,239
2005.0,238
2006.0,270
2007.0,278
2008.0,286
2009.0,310
2010.0,338
2011.0,388
2012.0,415
2013.0,517
2014.0,586
2015.0,720
2016.0,892
2017.0,1075
2018.0,1375
2019.0,1409
2020.0,1293
2021.0,1410
2022.0,1732
2023.0,1526
2024.0,835
2025.0,2
