genre,count
Drama,3052
 Romance,2192
Action,2635
 Adventure,785
 Sci-Fi,375
 Crime,1264
 Thriller,1619
Biography,724
 Drama,4096
 War,240
 Western,45
Adventure,872
 Mystery,962
 Music,416
Crime,902
 Sport,305
Comedy,4440
Mystery,52
 Animation,628
 Comedy,1206
 Family,688
 Fantasy,619
Horror,473
 History,502
 Horror,577
 Biography,94
 Musical,173
Documentary,903
Animation,252
 Film-Noir,10
Fantasy,44
Sci-Fi,16
Thriller,101
Romance,78
 Documentary,459
Family,89
 Short,186
Music,16
War,2
Western,5
Musical,18
 News,7
Sport,6
History,7
Reality-TV,3
 TV Movie,1
 Reality-TV,6
Short,14
Talk-Show,6
Adult,1
 Game-Show,2
Game-Show,2
 Talk-Show,1
