releaseYear,count
1913.0,1
1917.0,1
1918.0,1
1919.0,2
1920.0,2
1921.0,1
1923.0,2
1926.0,1
1928.0,3
1929.0,5
1930.0,1
1931.0,2
1932.0,4
1933.0,2
1934.0,5
1935.0,5
1936.0,5
1937.0,8
1938.0,5
1939.0,6
1940.0,4
1941.0,2
1942.0,7
1943.0,11
1944.0,2
1945.0,8
1946.0,9
1947.0,12
1948.0,11
1949.0,12
1950.0,20
1951.0,20
1952.0,25
1953.0,27
1954.0,29
1955.0,17
1956.0,30
1957.0,26
1958.0,32
1959.0,27
1960.0,21
1961.0,31
1962.0,21
1963.0,32
1964.0,23
1965.0,22
1966.0,27
1967.0,20
1968.0,26
1969.0,20
1970.0,31
1971.0,33
1972.0,28
1973.0,36
1974.0,26
1975.0,28
1976.0,36
1977.0,31
1978.0,23
1979.0,25
1980.0,33
1981.0,40
1982.0,36
1983.0,43
1984.0,46
1985.0,35
1986.0,48
1987.0,49
1988.0,48
1989.0,46
1990.0,39
1991.0,62
1992.0,49
1993.0,60
1994.0,54
1995.0,65
1996.0,62
1997.0,74
1998.0,80
1999.0,82
2000.0,107
2001.0,130
2002.0,153
2003.0,186
2004.0,217
2005.0,210
2006.0,238
2007.0,242
2008.0,253
2009.0,280
2010.0,298
2011.0,330
2012.0,355
2013.0,453
2014.0,503
2015.0,594
2016.0,716
2017.0,852
2018.0,1030
2019.0,1030
2020.0,883
2021.0,956
2022.0,1185
2023.0,1054
2024.0,472
2025.0,2
