releaseYear,count
1966.0,2
1968.0,1
1969.0,1
1971.0,1
1973.0,1
1975.0,1
1976.0,2
1978.0,1
1979.0,3
1980.0,2
1981.0,2
1983.0,3
1984.0,1
1985.0,2
1986.0,2
1987.0,5
1988.0,2
1989.0,3
1990.0,3
1991.0,3
1992.0,8
1993.0,4
1994.0,4
1995.0,5
1996.0,5
1997.0,7
1998.0,11
1999.0,10
2000.0,11
2001.0,15
2002.0,13
2003.0,19
2004.0,22
2005.0,28
2006.0,32
2007.0,36
2008.0,33
2009.0,30
2010.0,40
2011.0,58
2012.0,60
2013.0,64
2014.0,83
2015.0,126
2016.0,176
2017.0,223
2018.0,345
2019.0,379
2020.0,410
2021.0,454
2022.0,547
2023.0,472
2024.0,363
